companyName,wiki_id,url,Turnover,turnover_currency,no_employees,23_scope1,23_scope2MB,23_scope2LB,23_scope3,23_total,23_scope1_2Sum,23_scope3Sum,23_totalSum,23_scope3_1,23_scope3_2,23_scope3_3,23_scope3_4,23_scope3_5,23_scope3_6,23_scope3_7,23_scope3_8,23_scope3_9,23_scope3_10,23_scope3_11,23_scope3_12,23_scope3_13,23_scope3_14,23_scope3_15,23_scope3_16,23_biogenic
Hexagon,Q820970,https://bynder.hexagon.com/m/58ee0a6a069c9e30/original/2023-Sustainability-Report.pdf,5435200000,EUR,24581,"15,399","31,905","33,323",362351,,47304,362351,409655,177546,29236,9598,14533,566,29064,24282,,11267,,66101,158,,,,,
Hexpol,Q10523797,https://vp300.alertir.com/afw/files/press/hexpol/202403262143-1.pdf,22046000000,SEK,5050,"16,300","74,060","101,450",123400,,90400,123400,213800,,,,,,,,,,,,,,,,,
HMS Networks,Q1564880,https://hmsnetworks.blob.core.windows.net/nlw/docs/default-source/products/hms-networks-annual-report-2022.pdf?sfvrsn=6d37b1bb_2,3025000000,SEK,821,295,312,400,82378,,607,82378,82985,23325,4503,197,1494,,1663,553,,558,,50000,85,,,,,
Holmen,Q1467848,http://investors.holmen.com/afw/files/press/holmen/202403061245-1.pdf,22795000000,SEK,3546,"54,000","12,000",,609000,675000,66000,609000,675000,196000,11600,40000,54000,,4000,,,199000,,,,,,,,
Hufvudstaden,Q10526893,https://hufvudstaden.se/contentassets/c0590cba1eea4ba2b462650410bb3371/hufvudstadens-ars--och-hallbarhetsredovisning-2023,2962000000,SEK,454,106,853,"3,080",4617,5577,959,4617,5576,,,220,,400,4,,,,,,,910,,,83,
Husqvarna,Q899356,https://husqvarna-v2.prod-mid-euw3.investis.com/sites/husqvarna/files/2024-03/Husqvarna_Annual_and_Sustainability_Report_2023.pdf,53261000000,SEK,13755,"16,039","15,200",,,,31239,3771770,3803009,134309,,,32652,,3503,,,,,3601306,,,,,,
ICA Gruppen,Q1663776,https://report.icagruppen.se/media/g2ep3qxq/ica-gruppen-a-rsredovisning-2023.pdf,103493000000,SEK,8473,"9,577",,"2,879",80431,92887,12456,80431,92887,,,,63106,,4497,,,,,,,,12828,,,
IKEA,Q54078,https://www.ikea.com/global/en/images/IKEA_CLIMATE_Report_FY_23_20240125_a5a1535f4e.pdf,,,,"61,467","17,621","283,571",23329090,23723800,79088,23329090,23408178,13987358,286463,31325,1006777,34069,52848,397390,,1811155,,3819585,1480157,,421964,,,370009
Industrivärden,Q11977084,https://www.industrivarden.se/globalassets/hallbarhetsrapporter/svenska/hallbarhetsrapport_2023.pdf,,,,14,8,,16,23644712,22,16,38,,,,,,,,,,,,,,,,16,
Indutrade,Q10535326,https://www.indutrade.com/contentassets/01748e414d174273911c3ba75aeed4c5/indutrades-annual-report-and-sustainability-report-2023.pdf,31845000000,SEK,9262,"11,102","6,636",,,,17737,34842,52579,,,,,,,,,,,,,,,,,
Infranord,Q10535401,https://www.infranord.se/media/5zpoa0yg/infranord_a-r23.pdf,5200000000,SEK,1544,"7,100",790,,,,7890,,7890,,,,,,,,,,,,,,,,,
Instalco,Q106626934,https://instalco.se/media/2labqz2y/eng-hallbarhetsrapport_2023.pdf,14279000000,SEK,,,,,,,,,,,,,,,,,,,,,,,,,,
International Petroleum Corp.,Q106647141,,,,,,,,,,915424,28192,943616,,,,,,,,,,,,,,,,,
Intrum,,https://www.intrum.com/media/bt4l5crg/intrum-asr23.pdf,19853000000,SEK,10007,37,"2,299","3,030",12220,14556,2336,12220,14556,1657,,685,,,,6703,,,,,,,,,,
Investor,Q1671804,https://vp053.alertir.com/afw/files/press/investor/202403273148-1.pdf,59643000000,SEK,8425,11,11,123,191335,,22,191335,191357,15,10,20,,,665,25,,,,,,,,190600,,
JM,Q15702556,https://www.jm.se/externalfiles/cision/5E4C4DFE7720B70B/wkr0006.pdf,15969000000,SEK,2193,"2,753",953,"1,061",66399,70105,3706,66399,70105,54863,,1197,4664,169,83,,4584,,,,,839,,,,1954
Kindred Group,,https://www.kindredgroup.com/globalassets/documents/investor-relations-related-documents/financial-reports/2023/asr/kindred-group-annual-and-sustainability-report-2023.pdf,1210500000,SEK,2453,84,467,,4487.8,5038.9,551.1,4487.8,5038.9,,,,,,,,,,,,,,,,,
Kinnevik,Q4994121,https://www.kinnevik.com/files/mfn/c534f5b4-c274-46a1-a7a5-61da9da7be9c/annual-sustainability-report-2023.pdf,,,46,4,5,357,,349,9,8468,8477,71.2,,4.2,,0.2,257.8,4.6,0.1,,,,,0.7,,8128,1.3,
Lagercrantz Group,,https://www.lagercrantz.com/sites/lagercrantz/files/files/Lagercrantz%20Group%20H%C3%A5llbarhetsrapport%202022_23_1.pdf,7246000000,SEK,,,,,,,5159,15812,20971,,,,,,,,,,,,,,,,,
Lantmännen,Q1805602,https://www.lantmannen.se/siteassets/documents/01-om-lantmannen/press-och-nyheter/publikationer/arsredovisningar/ars-och-hallbarhetsredovisning-2023.pdf,65212000000,SEK,10339,"59,600","19,500",,,,79100,166500,245600,,,27600,134000,4900,,,,,,,,,,,,
Latour,Q6060753,https://vp302.alertir.com/afw/files/press/latour/202403219568-1.pdf,25550000000,SEK,8448,"11,575","7,454",,,,19029,58477.22,77506.22,431,,,,,96,8,,,,,,,,59604,,
Lifco,Q65196379,https://network.s-z.se/app/uploads/sites/16/lifco_annual_report_2023.pdf,24454000000,SEK,6899,"8,609","7,424",,13251,29284,16033,13251,29284,,,3723,,,2775,6753,,,,,,,,,,7565
Lindab International,Q109773651,https://www.lindabgroup.com/globalassets/media/group/documents/sustainability/hallbarhetsrapport_2023.pdf?epslanguage=sv,13114000000,SEK,4909,"11,966","9,952",,1137193,,21918,1137193,1159111,,,,,,,,,,,,,,,,,1119
LKAB,Q52579,https://lkab.com/wp-content/uploads/2024/03/LKAB_2023_ars-och-hallbarhetsredovisning.pdf,39556000000,SEK,4640,"637,200","8,100",,,,645300,,645300,,,,,,,,,,,,,,,,,50300
Loomis,Q3121401,https://www.loomis.com/sites/loomis-corp/files/documents/Loomis_%C3%85rs_och_h%C3%A5llbarhetsredovisning_2023.pdf,28707000000,SEK,25000,"134,075","21,150","17,536",,,155225,,155225,,,,,,,,,,,,,,,,,
Lundbergföretagen (koncern),Q6460556,https://www.lundbergforetagen.se/sites/default/files/files/Lundbergs_ha%CC%8Allbarhetsrapport_2023webb.pdf,29460000000,SEK,,"54,361","18,761",,629592,702714,73122,629592,702714,,,,,,,,,,,,,,,,,
Lundbergs Fastigheter,,https://cms.lundbergsfastigheter.se/wp-content/uploads/2024/03/Arsredovisning_2023.pdf,1808000000,SEK,174,30,"6,114",,15787,21931,6144,15787,21931,,,,,,,,,,,,,,,,,
Lundin Mining Corp.,Q1537901,,,,,,,,,,858117,,858117,,,,,,,,,,,,,,,,,
Medicover,Q18541785,https://vp260.alertir.com/afw/files/press/medicover/202403263088-1.pdf,1746400000,EUR,45316,"5,762","69,027",,360036,434825,74789,360036,434825,294185,9944,,22360,,,,,,,,,,,,,
Millicom Int. Cellular,Q276345,https://www.millicom.com/media/5769/ar-2023-w-mic-sa.pdf,5661000000,USD,16257,"30,524","146,673","159,860",1386091,,177197,1386091,1563288,,,,,,,,,,,,,,,,,
Mips,Q109787297,https://mipscorp.com/files/uploads/2024/03/mips-annual-and-sustainability-report-2023.pdf,357000000,SEK,101,85,28,,4321,4434,113,4321,4434,,,,,,,,,,,,,,,,,
MTG,,https://mb.cision.com/Main/56/3956401/2710900.pdf,5829000000,SEK,1042,0,232,344,1966.1,2197.8,231.7,1966.1,2197.8,492.2,,208.9,,9.9,752.9,349.2,152.9,,,,,,,,,
Munters Group,Q10590357,https://www.munters.com/globalassets/ir/annual-reports/new-folder/new-folder/munters-annual-and-sustainability-report-2023.pdf,13930000000,SEK,4981,"7,198","5,782","13,743",,6492948,12980,6479968,6492948,,,,,,,,,,,,,,,,,
Mycronic,Q10584597,https://storage.mfn.se/13cdbaea-e787-4cb7-99cf-bb350135e30b/annual-and-sustainability-report-2023.pdf,5706000000,SEK,2045,489,"2,846","2,799",185633,188968,3335,185633,188968,14606,,1030,5938,0.02,5437,,,7627,,150994,2,,,,,
NCAB Group,Q115167363,https://investors.ncabgroup.com/en/wp-content/uploads/sites/2/2024/04/ncab-annual-and-sustainability-report-2023-240410.pdf,4088000000,SEK,603,244,319,373,115751,116314,563,115751,116314,100,,,18128,,1491,,,,,,93,,,,,
NCC,Q558699,https://www.ncc.se/globalassets/ir/annualreport/ncc-ars--och-hallbarhetsredovisning-2023-utan-bokmarken.pdf,56932000000,SEK,3910,"126,000","4,000","11,000",385000,515000,130000,385000,515000,156000,,49000,34000,1000,4000,,,,,142000,,,,,,
